brand,model_fromsales,year,model_id,brand_id,yb_id,ybm_id
SAAB,9-5,2005,346,33,327,762
SAAB,9-5,2006,346,33,328,969
SAAB,9-5,2007,346,33,329,1180
SAAB,9-5,2008,346,33,330,1399
SAAB,9-7X,2006,347,33,328,970
SAAB,9-7X,2007,347,33,329,1181
SAAB,9-7X,2008,347,33,330,1400
SAAB,9-7X,2009,347,33,331,1605
SATURN,SKY,2007,348,34,332,1182
SATURN,SKY,2008,348,34,333,1401
SATURN,SKY,2009,348,34,334,1606
SATURN,VUE,2007,349,34,332,1183
SATURN,VUE,2008,349,34,333,1402
SATURN,VUE,2009,349,34,334,1607
SCION,FR-S,2013,350,35,342,2353
SCION,tC,2006,351,35,336,971
SCION,tC,2008,351,35,337,1403
SCION,tC,2009,351,35,338,1608
SCION,tC,2010,351,35,339,1816
SCION,tC,2011,351,35,340,2001
SCION,tC,2012,351,35,341,2178
SCION,tC,2013,351,35,342,2354
SCION,xA,2004,352,35,335,551
SCION,xA,2006,352,35,336,972
SCION,xB,2004,353,35,335,552
SCION,xB,2006,353,35,336,973
SCION,xB,2008,353,35,337,1404
SCION,xB,2009,353,35,338,1609
SCION,xB,2010,353,35,339,1817
SCION,xB,2011,353,35,340,2002
SCION,xB,2012,353,35,341,2179
SCION,xB,2013,353,35,342,2355
SUBARU,BAJA,2003,354,36,344,345
SUBARU,BAJA,2004,354,36,345,553
SUBARU,BAJA,2005,354,36,346,763
SUBARU,BAJA,2006,354,36,347,974
SUBARU,BRZ,2013,355,36,354,2356
SUBARU,FORESTER,2002,356,36,343,164
SUBARU,FORESTER,2003,356,36,344,346
SUBARU,FORESTER,2004,356,36,345,554
SUBARU,FORESTER,2005,356,36,346,764
SUBARU,FORESTER,2006,356,36,347,975
SUBARU,FORESTER,2007,356,36,348,1184
SUBARU,FORESTER,2009,356,36,350,1610
SUBARU,FORESTER,2010,356,36,351,1818
SUBARU,FORESTER,2011,356,36,352,2003
SUBARU,FORESTER,2012,356,36,353,2180
SUBARU,FORESTER,2013,356,36,354,2357
SUBARU,IMPREZA,2002,357,36,343,165
SUBARU,IMPREZA,2003,357,36,344,347
SUBARU,IMPREZA,2004,357,36,345,555
SUBARU,IMPREZA,2005,357,36,346,765
SUBARU,IMPREZA,2007,357,36,348,1185
SUBARU,IMPREZA,2008,357,36,349,1405
SUBARU,IMPREZA,2009,357,36,350,1611
SUBARU,IMPREZA,2010,357,36,351,1819
SUBARU,IMPREZA,2011,357,36,352,2004
SUBARU,IMPREZA,2012,357,36,353,2181
SUBARU,LEGACY,2002,358,36,343,166
SUBARU,LEGACY,2003,358,36,344,348
SUBARU,LEGACY,2004,358,36,345,556
SUBARU,LEGACY,2005,358,36,346,766
SUBARU,LEGACY,2006,358,36,347,976
SUBARU,LEGACY,2007,358,36,348,1186
SUBARU,LEGACY,2008,358,36,349,1406
SUBARU,LEGACY,2009,358,36,350,1612
SUBARU,LEGACY,2010,358,36,351,1820
SUBARU,LEGACY,2011,358,36,352,2005
SUBARU,LEGACY,2012,358,36,353,2182
SUBARU,LEGACY,2013,358,36,354,2358
SUBARU,OUTBACK,2002,359,36,343,167
SUBARU,OUTBACK,2003,359,36,344,349
SUBARU,OUTBACK,2004,359,36,345,557
SUBARU,OUTBACK,2005,359,36,346,767
SUBARU,OUTBACK,2006,359,36,347,977
SUBARU,OUTBACK,2007,359,36,348,1187
SUBARU,OUTBACK,2008,359,36,349,1407
SUBARU,OUTBACK,2009,359,36,350,1613
SUBARU,OUTBACK,2010,359,36,351,1821
SUBARU,OUTBACK,2012,359,36,353,2183
SUBARU,OUTBACK,2013,359,36,354,2359
SUBARU,TRIBECA,2006,360,36,347,978
SUBARU,TRIBECA,2008,360,36,349,1408
SUBARU,TRIBECA,2009,360,36,350,1614
SUBARU,TRIBECA,2010,360,36,351,1822
SUBARU,TRIBECA,2011,360,36,352,2006
SUBARU,TRIBECA,2012,360,36,353,2184
SUBARU,WRX,2011,361,36,352,2007
SUBARU,WRX,2012,361,36,353,2185
SUBARU,WRX,2013,361,36,354,2360
