,detected_entity,year,model_id,brand_id,yb_id,ybm_id,org_id
83807,HONDA,,148,12,,,248638
83808,A4,,12,2,,,248639
83809,BMW,,19,3,,,248639
83810,CADILLAC,,,5,,,248639
83811,LEXUS,,220,21,,,248639
83812,MAXIMA,,306,28,,,248640
83813,CADILLAC,,,5,,,248643
83814,SATURN,,,34,,,248643
83815,ACCORD,,146,12,,,248644
83816,SATURN,,,34,,,248644
83818,CADILLAC,,,5,,,248649
83819,HONDA,,148,12,,,248650
83820,TOYOTA,,384,38,,,248650
83822,AUDI,,12,2,,,248656
83823,CAMRY,,374,38,,,248656
83824,SUBARU,,,36,,,248657
83825,SATURN,,,34,,,248658
83826,FORD,,120,10,,,248659
83827,SATURN,,,34,,,248659
83828,TOYOTA,,384,38,,,248659
83829,MALIBU,,66,6,,,248660
83830,SATURN,,,34,,,248660
83831,LEXUS,,,21,,,248663
83832,SATURN,,,34,,,248663
83833,ACCORD,,146,12,,,248664
83834,CAMRY,,374,38,,,248664
83835,SATURN,,,34,,,248664
83836,MALIBU,,66,6,,,248665
83837,SATURN,,,34,,,248665
83838,CAMRY,,374,38,,,248666
83839,MERCEDES,,278,24,,,248666
83840,PASSAT,,400,39,,,248666
83841,SAAB,,347,33,,,248666
83842,SATURN,,,34,,,248666
83843,TL,,8,1,,,248666
83844,RL,,6,1,,,248667
83845,SKY,,348,34,,,248667
83846,SATURN,,,34,,,248668
83847,MERCEDES,,278,24,,,248669
83848,RL,,6,1,,,248669
83849,SATURN,,,34,,,248669
83850,A4,,12,2,,,248675
83851,SATURN,,,34,,,248675
83852,MALIBU,,66,6,,,248679
83853,SATURN,,,34,,,248679
83854,IMPALA,,65,6,,,248680
83855,SATURN,,,34,,,248680
83856,LEXUS,,229,21,,,248681
83857,SATURN,,,34,,,248681
83858,MALIBU,,66,6,,,248682
83859,SATURN,,,34,,,248682
83860,ACCORD,,146,12,,,248683
83861,BMW,,,3,,,248683
83862,CAMRY,,374,38,,,248683
83863,FORD,,120,10,,,248683
83864,LEXUS,,,21,,,248683
83865,MALIBU,,66,6,,,248683
83866,MAZDA,,253,23,,,248683
83867,MERCURY,,,25,,,248683
83868,SATURN,,,34,,,248683
83869,ACURA,,,1,,,248684
83870,SATURN,,,34,,,248686
83871,MERCEDES,,275,24,,,248687
83872,SATURN,,,34,,,248754
83873,HONDA,,148,12,,,248756
83874,TOYOTA,,384,38,,,248756
83875,SATURN,,,34,,,248757
83876,BMW,,19,3,,,248759
83877,LEXUS,,,21,,,248759
83878,SATURN,,,34,,,248760
83879,SATURN,,,34,,,248761
83880,SATURN,,,34,,,248763
83881,PASSAT,,400,39,,,248764
83882,SATURN,,,34,,,248765
83884,SATURN,,,34,,,248766
83885,HONDA,,148,12,,,248770
83886,SATURN,,,34,,,248770
83887,TOYOTA,,384,38,,,248770
83888,SATURN,,,34,,,248772
83889,BMW,,19,3,,,248773
83890,LEXUS,,,21,,,248773
83891,SATURN,,,34,,,248773
83892,BMW,,16,3,,,248775
83893,MERCEDES,,275,24,,,248779
83894,TOYOTA,,384,38,,,248779
83895,ALTIMA,,299,28,,,248780
83896,CAMRY,,374,38,,,248780
83897,CAMRY,,374,38,,,248781
83898,SATURN,,,34,,,248781
83901,SATURN,,,34,,,248787
83902,VUE,,349,34,,,248788
83903,CADILLAC,,,5,,,248790
83904,HONDA,,149,12,,,248790
83905,SATURN,,,34,,,248790
83906,TOYOTA,,384,38,,,248790
83907,CAMRY,,374,38,,,248791
83908,HONDA,,148,12,,,248791
83909,BMW,,,3,,,248794
83910,LEXUS,,,21,,,248794
83911,MERCURY,,,25,,,248796
83912,NISSAN,,303,28,,,248796
83913,PONTIAC,,,30,,,248796
83914,SATURN,,,34,,,248796
83915,TOYOTA,,384,38,,,248796
83916,MERCEDES,,275,24,,,248797
83917,TL,,8,1,,,248797
83918,TOYOTA,,,38,,,248797
83919,SATURN,,,34,,,248799
83920,CIVIC,,147,12,,,248800
83921,PONTIAC,,326,30,,,248800
83922,SENTRA,,311,28,,,248800
83923,CAMRY,,374,38,,,248801
83924,ALTIMA,,299,28,,,248806
83925,CAMRY,,374,38,,,248806
83926,SATURN,,,34,,,248807
83927,SATURN,,,34,,,248808
83928,A6,,13,2,,,248810
83929,ACCORD,,146,12,,,248812
83930,CAMRY,,374,38,,,248812
83931,SATURN,,,34,,,248812
83932,SILVERADO,,71,6,,,248812
83933,VOLVO,,412,40,,,248812
83934,ACCORD,,146,12,,,248815
83935,CAMRY,,374,38,,,248815
83936,ACCORD,,146,12,,,248816
83937,BMW,,,3,,,248816
83938,CAMRY,,374,38,,,248816
83939,G35,,177,15,,,248816
83940,LEXUS,,,21,,,248816
83941,SATURN,,,34,,,248816
83942,AUDI,,,2,,,248817
83943,HONDA,,149,12,,,248817
83944,INFINITI,,,15,,,248818
83945,SATURN,,,34,,,248818
83946,HONDA,,148,12,,,248819
83947,NISSAN,,303,28,,,248819
83948,SATURN,,,34,,,248819
83949,TOYOTA,,,38,,,248819
83950,SATURN,,,34,,,248820
83951,SATURN,,,34,,,248822
83952,HONDA,,148,12,,,248823
83953,SATURN,,,34,,,248823
83954,SATURN,,,34,,,248824
83955,SATURN,,,34,,,248825
83956,ACCORD,,146,12,,,248826
83957,CAMRY,,374,38,,,248826
83958,FUSION,,127,10,,,248826
83959,SATURN,,,34,,,248826
83960,SATURN,,,34,,,248827
83961,SATURN,,,34,,,248828
83962,SATURN,,,34,,,248829
83963,LEXUS,,,21,,,248833
83964,TOYOTA,,384,38,,,248833
83965,SATURN,,,34,,,248834
83966,SATURN,,,34,,,248835
83967,JETTA,,399,39,,,248836
83968,SATURN,,,34,,,248836
83969,JEEP,,,18,,,248837
83970,SATURN,,,34,,,248837
83971,AMANTI,,201,19,,,248838
83972,SATURN,,,34,,,248838
83973,G35,,177,15,,,248840
83974,ACURA,,8,1,,,248841
83975,AUDI,,,2,,,248841
83976,INFINITI,,,15,,,248841
83977,SATURN,,,34,,,248841
83978,SATURN,,,34,,,248842
83979,ACCORD,,146,12,,,248843
83981,CAMRY,,374,38,,,248843
83982,NISSAN,,303,28,,,248843
83983,PASSAT,,400,39,,,248843
83984,SATURN,,,34,,,248843
83985,MINI,,,26,,,248844
83986,SATURN,,,34,,,248844
83987,SATURN,,,34,,,248845
83988,CAMRY,,374,38,,,248847
83989,CTS,,40,5,,,248847
83990,FUSION,,127,10,,,248847
83991,MAZDA6,,259,23,,,248847
83992,PASSAT,,400,39,,,248847
83993,CHRYSLER,,,7,,,248849
83994,FORD,,120,10,,,248849
83995,HONDA,,148,12,,,248849
83996,HYUNDAI,,,14,,,248849
83997,NISSAN,,303,28,,,248849
83998,SUBARU,,,36,,,248849
83999,TOYOTA,,384,38,,,248849
84000,DODGE,,,9,,,248850
84001,FORD,,120,10,,,248850
84002,GMC,,,11,,,248850
84003,SATURN,,,34,,,248850
84004,SATURN,,,34,,,248852
84005,SATURN,,,34,,,248853
84006,SATURN,,,34,,,248854
84007,TOYOTA,,384,38,,,248855
84008,HONDA,,148,12,,,248856
84009,TOYOTA,,384,38,,,248856
84010,FORD,,120,10,,,248857
84011,HONDA,,148,12,,,248857
84012,PONTIAC,,330,30,,,248857
84013,SATURN,2007,,34,332,,248857
84014,TOYOTA,,384,38,,,248857
84015,ACCORD,,146,12,,,248858
84016,CAMRY,,374,38,,,248858
84017,GTI,,398,39,,,248858
84018,LEXUS,,,21,,,248858
84019,MERCEDES,,275,24,,,248858
84020,TSX,,9,1,,,248858
84021,BMW,,17,3,,,248859
84022,SATURN,,,34,,,248859
84023,SATURN,,,34,,,248860
84024,BMW,,17,3,,,248861
84025,FORD,,131,10,,,248861
84027,HONDA,,149,12,,,248861
84029,SATURN,,,34,,,248861
84030,SATURN,,,34,,,248862
84031,HONDA,,,12,,,248864
84032,TOYOTA,,,38,,,248864
84033,ACCORD,,146,12,,,248865
84034,ALTIMA,,299,28,,,248865
84035,CAMRY,,374,38,,,248865
84036,SATURN,,,34,,,248867
84037,AUDI,,,2,,,248868
84038,BMW,,,3,,,248868
84039,LEXUS,,,21,,,248868
84040,MERCEDES,,275,24,,,248868
84041,SATURN,,,34,,,248868
84042,SATURN,,,34,,,248870
84043,CHEVROLET,,69,6,,,248937
84044,HONDA,,149,12,,,248937
84045,SATURN,,,34,,,248937
84046,TOYOTA,,384,38,,,248937
84047,SATURN,,,34,,,248938
84048,MAZDA,,,23,,,249007
84049,SATURN,,,34,,,249007
84051,SATURN,,,34,,,249008
84052,TOYOTA,,384,38,,,249008
84053,SATURN,,,34,,,249012
